bucket_size,throughput,wa,pm_w,pm_r,pm_bw_w,pm_bw_r
64,6.193270,4.05,2131.0,2342.3,922.9,1014.4
128,6.247161,4.05,1772.0,2192.1,770.8,953.5
192,5.794367,4.05,2411.1,3075.2,997.6,1272.3
256,6.364453,4.04,1958.9,2480.5,863.3,1093.2
320,5.612296,4.04,2380.2,3472.6,960.9,1401.9
384,5.372843,4.05,2376.0,3571.0,930.3,1398.2
448,5.380996,4.04,2287.9,3751.9,895.1,1467.9
512,4.843886,4.03,2327.1,3423.2,845.0,1243.0
576,5.201276,4.04,1917.6,3968.8,730.2,1511.4
640,4.721516,4.05,2090.8,4014.9,743.2,1427.3
